League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Germany Bundesliga,2024-01-28,13:30:00,19,Borussia Dortmund,Bochum,1.8,2.75,6.5,1.36,5.25,6.75,1.22,4.0,1.02,27.0,1.09,5.65,1.5,2.55,1.67,2.1,1.1,1.17,3.15,1.89,0.67,1.78,1.12,2.9,1.31,11.0,4.3,1.17,4.25,1.33,2.91,1.68,2.17,2.07,1.74,2.66,1.43
Croatia Prva HNL,2024-01-28,13:45:00,20,Hajduk Split,Rijeka,2.2,2.25,4.4,1.72,3.6,4.2,1.36,3.0,1.05,9.0,1.25,3.75,1.8,1.9,1.75,1.95,1.16,1.22,1.9,2.33,1.67,1.75,1.48,3.23,1.64,8.0,2.77,1.33,2.93,1.85,1.95,2.05,1.75,2.71,1.38,3.74,1.21
Italy Serie A,2024-01-28,14:00:00,22,Lazio,Napoli,3.0,2.0,4.0,2.45,3.1,2.95,1.5,2.5,1.1,9.2,1.4,2.77,2.2,1.65,1.95,1.8,1.4,1.4,1.7,2.0,1.7,1.21,1.47,2.68,2.01,8.8,2.1,1.29,3.18,1.58,2.29,1.97,1.83,2.5,1.49,3.42,1.25
Greece Super League,2024-01-28,14:30:00,20,Olympiakos Piraeus,PAS Giannina,1.62,2.75,10.0,1.2,6.25,11.0,1.29,3.5,1.01,19.0,1.17,5.0,1.57,2.25,2.2,1.62,1.04,1.11,4.2,2.0,0.4,1.76,0.99,2.75,1.18,11.0,6.59,1.49,2.37,2.0,1.8,2.55,1.42,3.6,1.23,4.33,1.18
Spain Segunda División,2024-01-28,14:30:00,24,Burgos CF,Albacete Balompié,2.7,1.95,4.2,2.45,2.9,2.75,1.48,2.45,1.09,7.0,1.42,2.8,2.2,1.6,1.9,1.77,1.25,1.3,1.7,2.27,0.55,1.3,1.45,2.75,2.2,7.5,1.91,1.38,2.7,1.7,1.95,2.2,1.55,3.1,1.3,4.35,1.19
Belgium Pro League,2024-01-28,14:30:00,22,RSC Anderlecht,Union Saint-Gilloise,3.4,2.15,2.7,3.1,3.5,2.1,1.36,3.0,1.05,9.0,1.22,4.0,1.75,1.95,1.69,2.14,1.67,1.3,1.28,2.6,2.3,1.6,1.78,3.38,2.6,7.0,1.74,1.3,3.3,1.56,2.33,2.0,1.8,2.63,1.45,3.65,1.26
Spain La Liga,2024-01-28,14:30:00,22,Sevilla FC,CA Osasuna,2.75,2.05,4.33,1.95,3.45,3.75,1.44,2.63,1.07,9.0,1.4,3.0,2.15,1.67,1.95,1.8,1.25,1.31,1.77,0.91,1.11,1.81,1.24,3.05,1.54,8.5,2.95,1.24,3.35,1.46,2.43,1.79,1.89,2.25,1.54,2.9,1.3
Romania Liga I,2024-01-28,15:00:00,23,CS U Craiova,FCSB,3.2,2.05,3.1,2.45,3.0,2.65,1.43,2.65,1.05,8.0,1.3,3.2,1.95,1.75,1.73,2.0,1.44,1.33,1.44,1.91,2.18,1.77,1.63,3.4,1.64,8.0,2.77,1.26,3.34,1.53,2.45,2.0,1.8,2.4,1.55,3.28,1.27
Portugal LigaPro,2024-01-28,15:00:00,19,UD Oliveirense,Vilaverdense,2.5,2.1,4.0,1.95,3.2,3.35,1.4,2.75,1.06,8.0,1.29,3.5,1.95,1.75,1.7,2.05,1.25,1.3,1.73,1.11,0.44,1.43,1.28,2.71,1.86,9.3,2.17,1.1,5.35,1.23,3.56,1.43,2.54,1.78,2.02,2.2,1.66
Portugal Liga NOS,2024-01-28,15:00:00,19,Farense,Porto,0.0,0.0,0.0,7.0,4.6,1.36,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.0,0.0,0.0,0.0,0.0,0.0,1.56,2.11,1.25,1.28,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium Pro League,2024-01-28,15:15:00,22,KV Mechelen,RWDM,2.15,2.25,4.75,1.62,3.75,5.0,1.36,3.0,1.05,9.0,1.25,3.75,1.85,1.85,1.89,1.89,1.17,1.29,2.15,1.4,0.8,1.63,1.04,2.67,1.21,10.0,5.6,1.15,4.45,1.3,3.3,1.55,2.38,1.92,1.82,2.5,1.49
Greece Super League,2024-01-28,15:30:00,20,PAOK,Panathinaikos,3.0,2.1,3.75,2.2,3.3,3.05,1.44,2.63,1.05,10.0,1.33,3.25,1.95,1.75,1.8,1.95,1.38,1.25,1.63,2.8,2.2,1.95,1.56,3.51,1.91,7.5,2.2,1.38,2.7,1.7,1.98,2.2,1.55,3.1,1.3,4.7,1.16
Italy Serie A,2024-01-28,16:45:00,22,Fiorentina,Inter Milan,4.5,2.2,2.5,3.65,3.65,1.91,1.4,2.75,1.07,12.5,1.27,3.38,1.88,1.88,1.8,1.95,1.83,1.29,1.25,2.0,2.6,1.55,1.5,3.05,2.36,8.5,1.83,1.4,2.77,1.76,2.03,2.2,1.64,2.93,1.33,4.2,1.17
France Ligue 1,2024-01-28,16:45:00,19,PSG,Brest,1.91,2.6,6.5,1.33,5.5,7.0,1.29,3.5,1.04,22.0,1.18,5.0,1.55,2.4,1.8,1.95,1.08,1.14,3.0,2.44,1.78,1.81,1.4,3.21,1.63,7.5,2.65,1.26,3.2,1.49,2.35,1.85,1.84,2.33,1.5,3.05,1.29
Spain La Liga,2024-01-28,17:00:00,22,Atlético Madrid,Valencia CF,2.05,2.3,6.0,1.5,4.33,6.0,1.36,3.0,1.04,10.0,1.25,3.9,1.8,2.0,1.95,1.8,1.11,1.17,2.55,2.8,1.09,1.64,1.03,2.67,1.42,8.5,3.55,1.27,3.15,1.5,2.3,1.87,1.82,2.35,1.49,3.1,1.28
Spain Segunda División,2024-01-28,17:00:00,24,Sporting Gijón,Racing Club de Ferrol,2.63,2.0,5.0,1.8,3.05,4.2,1.53,2.38,1.09,7.0,1.45,2.65,2.35,1.53,2.1,1.67,1.17,1.28,1.87,2.09,1.36,1.52,0.97,2.49,1.64,8.0,2.77,1.38,2.7,1.7,1.95,2.2,1.55,3.1,1.3,4.5,1.18
Portugal Liga NOS,2024-01-28,17:30:00,19,FC Arouca,FC Vizela,0.0,0.0,0.0,2.05,3.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.89,0.88,1.37,1.23,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal Liga NOS,2024-01-28,17:30:00,19,Gil Vicente,Vitória Guimarães,0.0,0.0,0.0,3.25,3.2,2.15,0.0,0.0,0.0,0.0,0.0,0.0,1.95,1.75,0.0,0.0,0.0,0.0,0.0,1.78,1.5,1.11,1.3,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
